sym,open,high,low,close,volume,date,time
bitcoin,28923.63,29031.34,28690.17,28995.13,2311.811445,2021/1/1,0:00:00
bitcoin,28995.13,29470,28960.35,29409.99,5403.068471,2021/1/1,1:00:00
bitcoin,29410,29465.26,29120.03,29194.65,2384.23156,2021/1/1,2:00:00
bitcoin,29195.25,29367,29150.02,29278.4,1461.345077,2021/1/1,3:00:00
bitcoin,29278.41,29395,29029.4,29220.31,2038.046803,2021/1/1,4:00:00
bitcoin,29220.31,29235.28,29084.11,29187.01,1469.956262,2021/1/1,5:00:00
bitcoin,29187.01,29270,29077.32,29174.35,1420.726291,2021/1/1,6:00:00
bitcoin,29174.35,29191.98,28806.54,29092.83,2380.180918,2021/1/1,7:00:00
bitcoin,29092.84,29178.03,28872.24,29000.01,2008.165739,2021/1/1,8:00:00
bitcoin,29000.01,29307.73,28970,29202.21,2022.056022,2021/1/1,9:00:00
bitcoin,29202.21,29344.97,29152.88,29223.82,1944.255841,2021/1/1,10:00:00
bitcoin,29223.82,29402.57,29212.44,29313.49,2309.227717,2021/1/1,11:00:00
bitcoin,29313.49,29600,29150,29233.49,4191.915161,2021/1/1,12:00:00
bitcoin,29233.49,29470,29200,29464.79,2211.29829,2021/1/1,13:00:00
bitcoin,29464.79,29530,29266.15,29327.84,2612.67217,2021/1/1,14:00:00
bitcoin,29327.83,29391,29030.14,29188.67,2779.063894,2021/1/1,15:00:00
bitcoin,29188.67,29360,29125,29300.57,1490.329484,2021/1/1,16:00:00
bitcoin,29300.79,29339.76,28937,29079.64,2504.977099,2021/1/1,17:00:00
bitcoin,29077.59,29259.98,28624.57,29072.7,4226.430041,2021/1/1,18:00:00
bitcoin,29072.7,29125.32,28950,29029.04,1629.228721,2021/1/1,19:00:00
bitcoin,29029.04,29279.72,28880.37,29200.96,1838.549082,2021/1/1,20:00:00
bitcoin,29200.97,29289.82,29130,29160.39,1447.229641,2021/1/1,21:00:00
bitcoin,29163.17,29326.74,29104.57,29262.32,1127.035897,2021/1/1,22:00:00
bitcoin,29262.32,29338.89,29228.14,29331.69,971.123385,2021/1/1,23:00:00
bitcoin,29331.7,29338.59,28946.53,29197.48,2638.159379,2021/1/2,0:00:00
bitcoin,29197.93,29400,29100,29359.47,1891.997249,2021/1/2,1:00:00
bitcoin,29359.46,29469,29320.01,29323.82,1704.830137,2021/1/2,2:00:00
bitcoin,29323.82,29382.49,29256.85,29351.95,1158.041761,2021/1/2,3:00:00
bitcoin,29351.95,29396,29220,29349.63,988.71107,2021/1/2,4:00:00
bitcoin,29349.63,29590,29349.63,29589.99,2778.878231,2021/1/2,5:00:00
bitcoin,29589.99,29745,29450,29709.07,3030.24082,2021/1/2,6:00:00
bitcoin,29709.06,29820.5,29623.31,29750,3067.812724,2021/1/2,7:00:00
bitcoin,29751.47,29849.11,29640,29844.51,2358.088241,2021/1/2,8:00:00
bitcoin,29844.52,29899,29578.05,29612.87,3188.497375,2021/1/2,9:00:00
bitcoin,29612.88,29829,29473.91,29680.99,2315.182337,2021/1/2,10:00:00
bitcoin,29679.51,29780.53,29622.79,29755,1365.036655,2021/1/2,11:00:00
bitcoin,29754.99,30888,29741.39,30604.03,12772.56604,2021/1/2,12:00:00
bitcoin,30604.03,31561.87,30521,31541.17,9182.429703,2021/1/2,13:00:00
bitcoin,31546.06,31567.89,31065,31290.53,6447.783897,2021/1/2,14:00:00
bitcoin,31290.53,31800,31236.37,31691.29,5626.193755,2021/1/2,15:00:00
bitcoin,31691.09,33000,31616.42,32482.28,15432.28519,2021/1/2,16:00:00
bitcoin,32484.28,32935,32394.77,32856.96,6402.180701,2021/1/2,17:00:00
bitcoin,32856.95,33300,32421,32999.98,7170.295412,2021/1/2,18:00:00
bitcoin,32999.98,33220,32690,33027.2,5844.856499,2021/1/2,19:00:00
bitcoin,33027.2,33061.37,30550,30667.22,15733.28311,2021/1/2,20:00:00
bitcoin,30669.43,32005.94,30300,31694.59,10395.12064,2021/1/2,21:00:00
bitcoin,31693.53,32311.92,31424.96,32145.66,3879.062094,2021/1/2,22:00:00
bitcoin,32143.53,32246.67,31500,32178.33,4622.340338,2021/1/2,23:00:00
bitcoin,32176.45,32497.8,31962.99,32447.94,3346.062141,2021/1/3,0:00:00
bitcoin,32447.95,32790.07,32201,32585.09,3401.152207,2021/1/3,1:00:00
bitcoin,32583.04,32884.09,32550,32741.67,2017.209759,2021/1/3,2:00:00
bitcoin,32741.68,32756,32404,32573.87,2125.8788,2021/1/3,3:00:00
bitcoin,32576.11,33250,32450,33192.53,3436.070984,2021/1/3,4:00:00
bitcoin,33192.53,34180,33109.44,33758.67,10355.07032,2021/1/3,5:00:00
bitcoin,33758.67,34110.05,33651.12,33967.13,4526.910974,2021/1/3,6:00:00
bitcoin,33967.13,34778.11,33737.19,34452.34,7968.074023,2021/1/3,7:00:00
bitcoin,34451.78,34670.41,33757.29,34367.68,6146.774112,2021/1/3,8:00:00
bitcoin,34367.35,34588.88,33800,34190.55,6052.678972,2021/1/3,9:00:00
bitcoin,34189.98,34350,33403,33877.96,6335.226642,2021/1/3,10:00:00
bitcoin,33877.96,34450,33787.55,34413.53,4116.853141,2021/1/3,11:00:00
bitcoin,34413.53,34600,33928.75,34103.72,4546.283481,2021/1/3,12:00:00
bitcoin,34103.73,34385.02,33800,33880,4373.738376,2021/1/3,13:00:00
bitcoin,33877.98,34150,33450,33811.54,5928.805563,2021/1/3,14:00:00
bitcoin,33811.54,33873.45,32727,33506.62,8391.249757,2021/1/3,15:00:00
bitcoin,33505.15,33822.69,32650,32676.74,7983.739125,2021/1/3,16:00:00
bitcoin,32676.75,33333.33,32454.73,32909.27,7447.809163,2021/1/3,17:00:00
bitcoin,32907.51,33031.57,32267,32769.76,4707.199943,2021/1/3,18:00:00
bitcoin,32769.79,32930,32455.71,32772.21,2288.439412,2021/1/3,19:00:00
bitcoin,32775.1,33816,32727.1,33726.21,5420.678183,2021/1/3,20:00:00
bitcoin,33725.72,33861.92,33506,33558.34,2123.067992,2021/1/3,21:00:00
bitcoin,33559.06,33661.1,33000,33119.14,2841.033093,2021/1/3,22:00:00
bitcoin,33119.14,33600,32600,33000.05,5077.560592,2021/1/3,23:00:00
bitcoin,33000.05,33111.44,32400.25,32843.88,4792.206831,2021/1/4,0:00:00
bitcoin,32843.89,33327,32602.47,33191.04,3390.023872,2021/1/4,1:00:00
bitcoin,33191.05,33588,32958.38,33454.22,3180.350783,2021/1/4,2:00:00
bitcoin,33454.21,33510.71,33160,33505.16,3174.209134,2021/1/4,3:00:00
bitcoin,33505.15,33600,33186.14,33257.55,3167.029273,2021/1/4,4:00:00
bitcoin,33257.56,33315.9,32802.25,32813.01,3990.70088,2021/1/4,5:00:00
bitcoin,32813.01,33408,32813,33100.02,4768.764928,2021/1/4,6:00:00
bitcoin,33100.02,33148.69,31505,32068.84,9472.376828,2021/1/4,7:00:00
